Authors;Article Title;DOI
"Freudenreich, B; Schaltegger, S";Developing sufficiency-oriented offerings for clothing users: Business approaches to support consumption reduction;10.1016/j.jclepro.2019.119589
Shao, ZY;Performance Evaluation of Green Supply Chain of Textile and Apparel Industry in China;
"Desore, A; Narula, SA";An overview on corporate response towards sustainability issues in textile industry;10.1007/s10668-017-9949-1
"Moazzem, S; Crossin, E; Daver, F; Wang, LJ";Environmental impact of apparel supply chain and textile products;10.1007/s10668-021-01873-4
"Wang, CN; Pham, TDT; Nhieu, NL";Multi-Layer Fuzzy Sustainable Decision Approach for Outsourcing Manufacturer Selection in Apparel and Textile Supply Chain;10.3390/axioms10040262
"Li, JT; Leonas, KK";Sustainability topic trends in the textile and apparel industry: a text mining-based magazine article analysis;10.1108/JFMM-07-2020-0139
"Kazancoglu, I; Kazancoglu, Y; Kahraman, A; Yarimoglu, E; Soni, G";Investigating barriers to circular supply chain in the textile industry from Stakeholders' perspective;10.1080/13675567.2020.1846694
"Jafari, HR; Seifbarghy, M; Omidvari, M";Sustainable supply chain design with water environmental impacts and justice-oriented employment considerations: A case study in textile industry;10.24200/sci.2017.4299
"Majumdar, A; Sinha, SK";Analyzing the barriers of green textile supply chain management in Southeast Asia using interpretive structural modeling;10.1016/j.spc.2018.10.005
"Helmi, MN; Masri, MN";Risk mapping and mitigation design of small and medium enterprises clothing products using supply chain risk management;10.1088/1757-899X/277/1/012061
"Garcia, S; Naas, ID; Neto, PLDC; dos Reis, JGM; Polvora, VN; de Lima, LA; Martinez, AAG; Lessa, VS";Sustainability in Fabric Chains and Garments for a Circular Economy;10.1007/978-3-030-57993-7_60
"Uddin, MA; Afroj, S; Hasan, T; Carr, C; Novoselov, KS; Karim, N";Environmental Impacts of Personal Protective Clothing Used to Combat COVID- 19;10.1002/adsu.202100176
"Chen, CL; Shang, X; Tsaur, WJ; Weng, W; Deng, YY; Wu, CM; Cui, JF";An Anti-Counterfeit and Traceable Management System for Brand Clothing with Hyperledger Fabric Framework;10.3390/sym13112048
"Ho, D; Kumar, A; Shiwakoti, N";Supply Chain Collaboration - A Case Study of Textile and Apparel Industry;
"Shao, P; Lassleben, H";Determinants of Consumers' Willingness to Participate in Fast Fashion Brands' Used Clothes Recycling Plans in an Omnichannel Retail Environment;10.3390/jtaer16070181
"Mair, S; Druckman, A; Jackson, T";Investigating fairness in global supply chains: applying an extension of the living wage to the Western European clothing supply chain;10.1007/s11367-017-1390-z
"Warasthe, R; Schulz, F; Enneking, R; Brandenburg, M";Sustainability Prerequisites and Practices in Textile and Apparel Supply Chains;10.3390/su12239960
Oelze, N;Sustainable Supply Chain Management Implementation-Enablers and Barriers in the Textile Industry;10.3390/su9081435
"Satinet, C; Fouss, F";A Supervised Machine Learning Classification Framework for Clothing Products' Sustainability;10.3390/su14031334
"Valodka, I; Snieska, V; Mihi-Ramirez, A";Impact of the International Trade on the EU Clothing Industry Carbon Emissions;10.5755/j01.ee.31.3.25012
"Saha, K; Dey, PK; Papagiannaki, E";Implementing circular economy in the textile and clothing industry;10.1002/bse.2670
"Gardas, BB; Raut, RD; Narkhede, B";Modelling the challenges to sustainability in the textile and apparel (T&A) sector: A Delphi-DEMATEL approach;10.1016/j.spc.2018.05.001
"Sandvik, IM; Stubbs, W";Circular fashion supply chain through textile-to-textile recycling;10.1108/JFMM-04-2018-0058
"Shrivastava, A; Jain, G; Kamble, SS; Belhadi, A";Sustainability through online renting clothing: Circular fashion fueled by instagram micro-celebrities;10.1016/j.jclepro.2020.123772
"Niinimaki, K; Peters, G; Dahlbo, H; Perry, P; Rissanen, T; Gwilt, A";The environmental price of fast fashion;10.1038/s43017-020-0039-9
"Sadowski, A; Dobrowolska, B; Skowron-Grabowska, B; Bujak, A";POLISH TEXTILE AND APPAREL INDUSTRY: GLOBAL SUPPLY CHAIN MANAGEMENT PERSPECTIVE;10.2478/aut-2021-0021
Khajavi, SH;Additive Manufacturing in the Clothing Industry: Towards Sustainable New Business Models;10.3390/app11198994
"Stevenson, M; Cole, R";Modern slavery in supply chains: a secondary data analysis of detection, remediation and disclosure;10.1108/SCM-11-2017-0382
"Tumpa, TJ; Ali, SM; Rahman, MH; Paul, SK; Chowdhury, P; Khan, SAR";Barriers to green supply chain management: An emerging economy context;10.1016/j.jclepro.2019.117617
"Hashim, M; Nazam, M; Zia-ur-Rehman, M; Abrar, M; Baig, SA; Nazim, M; Hussain, Z";Modeling Supply Chain Sustainability-Related Risks and Vulnerability: Insights from the Textile Sector of Pakistan;10.2478/aut-2021-0008
Ashby, A;Developing closed loop supply chains for environmental sustainability: Insights from a UK clothing case study;10.1108/JMTM-12-2016-0175
"Munoz-Torres, MJ; Fernandez-Izquierdo, MA; Rivera-Lirio, JM; Ferrero-Ferrero, I; Escrig-Olmedo, E";Sustainable supply chain management in a global context: a consistency analysis in the textile industry between environmental management practices at company level and sectoral and global environmental challenges;10.1007/s10668-020-00748-4
"Tat, T; Chen, GR; Zhao, X; Zhou, YH; Xu, J; Chen, J";Smart Textiles for Healthcare and Sustainability;10.1021/acsnano.2c06287
"Mari, SI; Lee, YH; Memon, MS";Sustainable and Resilient Garment Supply Chain Network Design with Fuzzy Multi-Objectives under Uncertainty;10.3390/su8101038
"Cai, YJ; Choi, TM";A United Nations' Sustainable Development Goals perspective for sustainable textile and apparel supply chain management;10.1016/j.tre.2020.102010
"Tayyab, M; Sarkar, B";An interactive fuzzy programming approach for a sustainable supplier selection under textile supply chain management;10.1016/j.cie.2021.107164
"Bick, R; Halsey, E; Ekenga, CC";The global environmental injustice of fast fashion;10.1186/s12940-018-0433-7
"Bala, BK; Islam, MM; Ghosh, S; Hossain, MS; Hoque, ASMM; Saha, S";Modelling of supply chain of ready-made garments in Bangladesh;10.1002/sres.2575
"Laitala, K; Klepp, IG; Henry, B";Use phase of wool apparel: a literature review for improving LCA;10.3233/978-1-61499-820-4-202
"Ma, K; Thomassey, S; Zeng, XY";Development of a central order processing system for optimizing demand-driven textile supply chains: a real case based simulation study;10.1007/s10479-018-3000-2
"Chen, LH; Yu, H; Yan, XF";Developing a modular apparel safety architecture for supply chain management: the apparel recycle perspective;
"Tsai, YS; Hung, WH";A low-cost intelligent tracking system for clothing manufacturers;10.1007/s10845-021-01788-x
"Wijethilake, C; Upadhaya, B; Lama, T";The role of organisational culture in organisational change towards sustainability: evidence from the garment manufacturing industry;10.1080/09537287.2021.1913524
"Hakim, IM; Masyhur, MZ";Key Performance Indicators & Strategies to Achieve Sustainability & Improve Performance of Clothing Services SME Using Fuzzy AHP Method;10.1145/3364335.3364407
"Safra, I; Jebali, A; Jemai, Z; Bouchriha, H; Ghaffari, A";The beneficial effect of information sharing in the integrated production-distribution planning of textile and apparel supply chain;10.1051/ro/2021038
"Cole, R; Shirgholami, Z";The outlook for modern slavery in the apparel sector in a post-lockdown economy;10.1108/SCM-06-2020-0245
"Hashim, M; Baig, SA; Amjad, F; Nazam, M; Akram, MU";Impact of Supply Chain Management Practices on Organizational Performance and Moderating Role of Innovation Culture: A Case of Pakistan Textile Industry;10.1007/978-3-030-21255-1_30
"Nyika, J; Dinka, M";Sustainable management of textile solid waste materials: The progress and prospects;10.1016/j.matpr.2022.04.241
"Saygili, E; Saygili, AT; Yargi, SG";An Analysis of the Sustainability Disclosures of Textile and Apparel Companies in Turkey;10.32710/tekstilvekonfeksiyon.471049
"Cooper, T; Oxborrow, L; Claxton, S; Goworek, H; Hill, H; McLaren, A";New product development and testing strategies for clothing longevity: an overview of a UK research study;10.3233/978-1-61499-820-4-94
"Moorhouse, D; Moorhouse, D";Sustainable Design: Circular Economy in Fashion and Textiles;10.1080/14606925.2017.1352713
"Kessler, L; Matlin, SA; Kummerer, K";The contribution of material circularity to sustainability-Recycling and reuse of textiles;10.1016/j.cogsc.2021.100535
"Nilssen, R; Bick, G; Abratt, R";Comparing the relative importance of sustainability as a consumer purchase criterion of food and clothing in the retail sector;10.1057/s41262-018-0113-5
"Gurova, O; Morozova, D";A critical approach to sustainable fashion: Practices of clothing designers in the Kallio neighborhood of Helsinki;10.1177/1469540516668227
"Sarwar, N; Bin Humayoun, U; Nawaz, A; Yoon, DH";Development of sustainable, cost effective foam finishing approach for cellulosic textile employing succinic acid/xylitol crosslinking system;10.1016/j.susmat.2021.e00350
"Strydom, M; Kempen, E";Towards economic sustainability: how higher education can support the business operations of emerging clothing manufacturing micro enterprises;10.1108/IJSHE-05-2020-0152
"Moazzem, S; Daver, F; Crossin, E; Wang, LJ";Assessing environmental impact of textile supply chain using life cycle assessment methodology;10.1080/00405000.2018.1434113
"Pattnaik, P; Dangayach, GS";SUSTAINABILITY OF WASTEWATER MANAGEMENT IN TEXTILE SECTORS: A CONCEPTUAL FRAMEWORK;
"Luo, Y; Song, K; Ding, XM; Wu, XY";Environmental sustainability of textiles and apparel: A review of evaluation methods;10.1016/j.eiar.2020.106497
"Tama, D; Cureklibatir Encan, B; Ondogan, Z";UNIVERSITY STUDENTS' ATTITUDE TOWARDS CLOTHES IN TERMS OF ENVIRONMENTAL SUSTAINABILITY AND SLOW FASHION;
"Puppim, R; Broega, AC";An Innovative Textile Product Proposal Based on Sustainability: Recycling Wastes from the Wool Industry;10.1007/978-3-030-79165-0_25
"Laitala, K; Klepp, IG; Kettlewell, R; Wiedemann, S";Laundry Care Regimes: Do the Practices of Keeping Clothes Clean Have Different Environmental Impacts Based on the Fibre Content?;10.3390/su12187537
"Felfel, H; Ben Yahia, W; Ayadi, O; Masmoudi, F";Stochastic multi-site supply chain planning in textile and apparel industry under demand and price uncertainties with risk aversion;10.1007/s10479-018-2980-2
"Zamani, B; Sandin, G; Peters, GM";Life cycle assessment of clothing libraries: can collaborative consumption reduce the environmental impact of fast fashion?;10.1016/j.jclepro.2017.06.128
"Yang, NN; Ha-Brookshire, JE";Chinese textile and apparel manufacturers' moral duty positions, goals and structures toward sustainability;10.1108/JFMM-01-2020-0001
"Cuc, S; Tripa, S";Redesign and upcycling - a solution for the competitiveness of small and medium-sized enterprises in the clothing industry;
"Bressanelli, G; Visintin, F; Saccani, N";Circular Economy and the evolution of industrial districts: a supply chain perspective;10.1016/j.ijpe.2021.108348
"Lv, X; Liu, LY";Garment Production-distribution Network Simulation Model under Dual-channel Model;
"Ma, K; Gustafsson, E; Pal, R";SIMULATION MODELLING OF RESOURCE SHARING IN INTER-ORGANIZATIONAL SUPPLY CHAIN COLLABORATION WITHIN GARMENT INDUSTRY;
"Pattnaik, P; Dangayach, GS";Analysis of Influencing Factors on Sustainability of Textile Wastewater: a Structural Equation Approach;10.1007/s11270-019-4206-x
Zhang, JX;Study on the Application of O2O Mode in the Development of Garment Enterprises in Jilin Province;
"Wang, H; Memon, H; Shah, SHH; Shakhrukh, M";Development of a Quantitative Model for the Analysis of the Functioning of Integrated Textile Supply Chains;10.3390/math7100929
"Multala, B; Wagner, J; Wang, YW";Durability standards and clothing libraries for strengthening sustainable clothing markets;10.1016/j.ecolecon.2022.107358
Zhou, CL;Study on the Impact of Informationized Investment on Company Brand Value : Based on the Data of Listed Garment and Home Textile Companies;
"Wu, S; Devendorf, L";Unfabricate: Designing Smart Textiles for Disassembly;10.1145/3313831.3376227
"Li, YB; Pinto, MCB; Diabat, A";Analyzing the critical success factor of CSR for the Chinese textile industry;10.1016/j.jclepro.2020.120878
"Broega, AC; Jordao, C; Martins, SB";Textile sustainability: reuse of clean waste from the textile and apparel industry;10.1088/1757-899X/254/19/192006
"Shen, B; Li, QY";Green Technology Adoption in Textile Supply Chains with Environmental Taxes: Production, Pricing, and Competition;10.1016/j.ifacol.2019.11.153
"Saha, PK; Akhter, S; Hassan, A";Framing Corporate Social Responsibility to Achieve Sustainability in Urban Industrialization: Case of Bangladesh Ready-Made Garments (RMG);10.3390/su13136988
"Loon, LK; Udin, ZM; Hassan, MG; Abu Bakar, Z; Hanaysha, JR";The Power of Organizational Innovativeness in Shaping Supply Chain Operational Performance;10.1166/asl.2017.9933
"Zimon, D; Domingues, P";Proposal of a Concept for Improving the Sustainable Management of Supply Chains in the Textile Industry;10.5604/01.3001.0011.5732
Fang, S;A triangular fuzzy demand stochastic process model for IoT;10.1016/j.cogsys.2018.07.031
"Rahman, M; Billah, MM; Hack-Polay, D; Alam, A";The use of biotechnologies in textile processing and environmental sustainability: An emerging market context;10.1016/j.techfore.2020.120204
"Chakraborty, S; Biswas, MC";3D printing technology of polymer-fiber composites in textile and fashion industry: A potential roadmap of concept to consumer;10.1016/j.compstruct.2020.112562
"Yaghin, RG; Darvishi, F";Integrated textile material and production management in a fuzzy environment: A logistics perspective;10.1080/00405000.2021.1929705
"Kumar, V; Koehl, L; Zeng, XY; Ekwall, D";Coded yarn based tag for tracking textile supply chain;10.1016/j.jmsy.2016.11.008
"Aakko, M; Niinimaki, K";Quality matters: reviewing the connections between perceived quality and clothing use time;10.1108/JFMM-09-2020-0192
